"ANID","Alternate ID","Chem Group","Sample Type","Investigator Name","Institution","Site Name","Site State","Site Country","Site Latitude","Site Longitude","Source Name","Source State","Source Country","Source/Excavator/Museum","Period","Artifact Date","Comments","Analytical History","Long RDF","Long Date","Short RDF","Short Date","Spare_ID","Ba","La","Lu","Nd","Sm","U","Yb","Ce","Co","Cs","Eu","Fe","Hf","Rb","Sb","Sc","Sr","Ta","Tb","Th","Zn","Zr","Br","Al","Cl","Dy","K","Mn","Na","NKT_edits"
"CSPA84","AP7","C20?","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"c17","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","STR4",17-Aug-03,"STN1-S",29-Aug-03,"CSPA84",0.00,53.8568,1.0208,40.4724,9.9735,15.5697,6.8080,110.7805,0.4974,8.1680,0.2990,13207.3,19.1102,367.63,0.7372,0.9089,0.00,13.6956,1.5424,46.0521,136.90,431.11,0.000,62282.3,1250.1,24.1243,38003.0,978.63,47443.1,
"CSPA85","AP8","C16","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","STR4",17-Aug-03,"STN1-S",29-Aug-03,"CSPA85",0.00,243.1317,1.3637,163.9901,27.8708,6.1534,9.3644,445.1113,13.3487,3.7731,1.2320,30413.7,31.5764,260.97,0.2092,0.4445,0.00,12.8994,3.3866,29.8932,261.74,1147.39,0.000,57402.3,870.9,33.1325,35989.7,880.90,46290.6,
"CSPA86","AP12","C24","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","STR4",17-Aug-03,"STN1-S",29-Aug-03,"CSPA86",0.00,145.1454,1.9370,118.3937,29.5555,14.2253,13.5238,306.6586,22.2429,6.2224,2.0072,22993.4,56.5590,473.50,0.7614,0.8369,0.00,26.1079,4.5755,48.0770,437.04,2019.77,0.000,62383.3,1586.3,10.8304,33289.0,1084.28,35373.0,
"CSPA87","AP14","C25","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","STR4",17-Aug-03,"MER2-S",8-May-03,"CSPA87",0.00,56.3909,1.0629,43.3446,10.6356,14.8235,7.0538,117.3090,16.3429,7.9671,0.3253,13949.1,21.7201,366.00,0.7320,0.8888,0.00,16.2736,1.6065,44.9033,158.93,572.24,0.000,61054.5,1663.5,11.4509,34208.8,1091.03,34945.8,
"CSPA88","AP15","C25","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","STR4",17-Aug-03,"STN1-S",29-Aug-03,"CSPA88",0.00,56.7116,1.0567,43.1861,10.5996,15.6600,7.0751,116.7916,19.9698,8.0459,0.3378,13931.0,21.6164,365.14,0.7202,0.9125,0.00,16.5569,1.6393,44.6883,147.60,545.54,0.000,61049.0,1674.8,13.6580,37456.0,1121.91,36171.1,
"CSPA89","AP16","C26","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","STR4",17-Aug-03,"STN1-S",29-Aug-03,"CSPA89",0.00,182.2639,1.8947,153.0397,31.4387,10.0714,13.1475,364.0619,22.7040,6.2312,0.8884,31435.9,40.3475,355.97,0.2806,0.2057,0.00,16.8832,4.3136,38.3972,357.47,1590.74,0.000,54809.2,1219.7,30.7373,42862.4,855.65,30839.0,
"CSPA90","AP17","C16","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,,"MURR (SRM-278: short and long)","STR4",17-Aug-03,"STN1-S",29-Aug-03,"CSPA90",0.00,244.0504,1.3712,165.7557,28.4561,6.4340,9.4471,442.0247,20.5737,3.8798,1.2620,30800.2,32.2970,267.15,0.2031,0.4576,0.00,13.8847,3.4738,30.6774,270.39,1188.81,0.000,71685.1,1213.8,23.9002,38876.7,898.24,44891.8,
"CSPA91","AP18","C23","source","Stern, Charles","University of Colorado","Meseta de Somuncura (western)","Rio Negro","Argentina",-41.5000,-67.2500,"Somuncura","Rio Negro","Argentina","Stern, Charles",,,"high Uranium - fission product correction performed","MURR (SRM-278: short and long)","STR4",17-Aug-03,"KSP1-S",10-Oct-03,"CSPA91",0.00,191.3836,1.3513,139.3324,25.3663,14.3399,9.3187,358.0234,6.1520,3.2983,0.9503,31035.5,29.2777,249.66,0.2083,0.3894,0.00,11.6455,3.2021,27.6651,279.27,1100.95,0.000,76528.8,1358.7,21.1186,40872.6,933.23,44498.8,
"CTC001","CTC001","COC-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Obsidiana","Chubut","Argentina",,,"Cerro Obsidiana","Chubut","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","FMC1",5-Feb-12,"FTT1-S",16-Feb-12,"CTC001",37.30,78.7595,0.9428,58.7450,12.3245,10.5133,4.7042,158.7045,0.0678,4.3412,0.0928,12460.5,13.7784,289.72,0.2883,1.0259,0.00,8.6197,1.6844,23.7649,111.89,340.33,5.277,67874.1,1058.6,10.9584,43933.8,364.43,32371.1,
"CTC002","CTC002","COC-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Obsidiana","Chubut","Argentina",,,"Cerro Obsidiana","Chubut","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","FMC1",5-Feb-12,"FTT1-S",16-Feb-12,"CTC002",0.00,79.1298,0.9229,60.7721,12.3446,10.8729,4.6391,160.9818,0.0585,4.3544,0.0900,12546.2,13.5232,289.69,0.2710,1.0335,0.00,8.7002,1.7175,23.8445,112.98,323.09,4.477,70067.7,1031.4,10.7540,41425.2,362.44,32179.7,
"CTC003","CTC003","COC-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Obsidiana","Chubut","Argentina",,,"Cerro Obsidiana","Chubut","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","FMC1",5-Feb-12,"FTT1-S",16-Feb-12,"CTC003",0.00,79.1273,0.9115,59.8362,12.2515,10.5271,4.5210,161.3580,0.0737,4.3044,0.0941,12565.9,13.7983,286.19,0.2538,1.0329,0.00,8.6777,1.7310,23.7970,111.50,336.83,4.394,67123.5,1073.5,10.5907,43460.6,375.62,32829.4,
"CTC004","CTC004","COC-ARG","source","Giesso, Martin","Northeastern Illinois University","Cerro Obsidiana","Chubut","Argentina",,,"Cerro Obsidiana","Chubut","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","FMC1",5-Feb-12,"FTT1-S",16-Feb-12,"CTC004",0.00,78.9575,0.8954,60.0804,12.1700,10.6867,4.4483,158.8079,0.0622,4.2323,0.0906,12288.0,13.3920,284.20,0.2705,1.0252,0.00,8.5901,1.6976,23.3589,110.07,344.66,4.233,62154.0,1129.7,11.4229,39640.9,375.91,32918.7,
"ELPE09","ELPE09","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MBU1-S",5-Mar-10,"ELPE09",901.40,7.7560,0.3103,3.0873,1.7645,10.9452,0.8362,12.5497,0.1919,21.1354,0.2180,4648.9,2.8768,244.38,0.5625,0.2085,301.57,1.2859,0.1030,9.5675,47.09,27.91,0.000,75188.4,289.6,0.8356,35842.1,798.32,31377.6,
"ELPE10","ELPE10","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MBU1-S",5-Mar-10,"ELPE10",1176.60,18.2947,0.3692,15.0317,2.8456,9.9333,1.2215,30.9618,0.1971,17.8818,0.4497,5683.5,4.0250,230.62,0.5001,0.2672,312.63,1.4560,0.2166,11.3495,52.29,94.63,1.613,76439.0,438.5,1.1737,47032.1,880.18,28487.5,
"ELPE11","ELPE11","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MBU1-S",5-Mar-10,"ELPE11",1162.90,18.2812,0.3730,11.4268,2.8284,9.9603,1.2718,31.1859,0.1950,17.8780,0.4504,5698.5,4.0857,222.01,0.4830,0.2672,313.73,1.4552,0.2150,11.3273,52.32,104.76,1.373,74321.8,392.3,1.5863,39038.5,885.58,33556.9,
"ELPE12","ELPE12","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MBU1-S",5-Mar-10,"ELPE12",1116.10,17.9477,0.3575,9.8665,2.6547,9.8564,1.3091,31.0301,0.1977,17.7866,0.4591,5720.8,4.2784,219.20,0.4909,0.2723,311.92,1.4750,0.2136,11.2833,52.54,107.68,0.752,75967.6,337.3,1.4988,37295.8,916.52,32825.0,
"ELPE13","ELPE13","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE13",1114.60,18.0039,0.3336,10.8219,2.6500,9.4399,1.1803,31.4799,0.2122,17.9324,0.4686,5787.1,4.0809,220.41,0.5062,0.2747,318.84,1.4623,0.2174,11.4825,53.76,107.07,1.263,70839.7,401.7,1.6128,37420.1,853.42,32412.5,
"ELPE14","ELPE14","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE14",849.40,7.5326,0.2970,4.7360,1.6754,11.0313,0.8045,12.4956,0.1723,21.4444,0.2246,4692.4,2.9355,246.94,0.6224,0.2085,277.27,1.2886,0.1018,9.6085,48.19,41.71,0.692,67480.6,349.9,0.7388,37414.3,796.31,31875.5,
"ELPE15","ELPE15","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE15",842.30,7.4676,0.2916,5.0832,1.6760,10.4943,0.7945,13.0515,0.2067,21.3578,0.2149,4745.5,3.0509,245.32,0.6251,0.2190,296.24,1.2763,0.1001,9.5426,46.71,49.43,1.095,69858.6,567.0,0.5292,39873.2,772.50,29131.3,
"ELPE16","ELPE16","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE16",841.30,7.5839,0.2983,3.5174,1.6889,10.9096,0.8414,13.0670,0.1876,21.7497,0.2249,4710.5,3.0376,249.32,0.6098,0.2157,279.85,1.3227,0.1056,9.7235,47.04,38.24,0.628,71924.1,446.9,0.3174,40268.1,804.01,30032.1,
"ELPE17","ELPE17","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE17",848.40,7.5602,0.3136,2.0903,1.8339,10.9932,0.8309,13.2208,0.1752,21.6865,0.2408,4725.8,3.2008,246.40,0.5890,0.2128,271.61,1.3687,0.1286,9.7317,48.21,50.60,0.724,74588.0,554.0,0.5161,49639.6,771.41,24492.9,
"ELPE18","ELPE18","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE18",1122.60,17.8047,0.3488,14.8899,2.7099,9.9455,1.2315,32.0300,0.1804,18.4708,0.4966,5835.2,4.1602,226.35,0.4942,0.2740,333.10,1.4940,0.2267,11.6705,54.63,106.96,1.220,79876.7,425.5,1.3973,37599.5,855.70,32460.1,
"ELPE19","ELPE19","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE19",1101.00,17.9930,0.3448,12.3686,2.7409,9.4757,1.1965,32.0105,0.2008,18.3874,0.4848,5932.6,4.1003,226.78,0.4968,0.2755,324.02,1.5167,0.2339,11.6194,55.28,109.22,0.880,74562.2,371.8,1.0992,33701.4,868.78,33165.4,
"ELPE20","ELPE20","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE20",1121.00,17.9556,0.3485,13.4063,2.7271,10.1008,1.1807,31.9960,0.2412,17.7329,0.4639,5886.6,4.1697,225.08,0.4750,0.2923,314.14,1.4732,0.2176,11.5806,52.76,95.71,1.093,77325.9,385.8,1.7072,38921.2,867.92,33125.4,
"ELPE21","ELPE21","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE21",1107.10,17.9749,0.3659,13.4458,2.6452,9.4979,1.2320,31.7767,0.2061,18.2959,0.4788,5819.3,4.1996,224.21,0.4888,0.2763,324.37,1.5041,0.2300,11.5577,54.05,101.97,1.268,77033.9,402.4,0.9982,37515.3,872.77,33307.5,
"ELPE22","ELPE22","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE22",842.60,7.4810,0.3049,4.5444,1.7758,10.4367,0.8350,13.0001,0.2006,21.4675,0.2370,4913.1,3.0706,241.62,0.5875,0.2425,288.54,1.3259,0.1129,9.5262,47.63,55.88,0.761,71739.1,447.9,0.8025,35995.6,824.73,31610.9,
"ELPE23","ELPE23","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE23",1144.10,19.5355,0.3669,14.0646,2.8343,9.3727,1.2907,34.6079,0.2452,17.7550,0.5061,6173.0,4.0636,220.02,0.4751,0.3198,354.04,1.4888,0.2432,11.6857,54.69,112.00,1.243,80912.2,317.2,1.2345,37386.3,881.24,33429.9,
"ELPE24","ELPE24","EPM2-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE24",843.70,7.6199,0.2804,3.9384,1.7334,10.9165,0.8109,13.0839,0.1802,21.8984,0.2294,4765.1,2.9951,251.53,0.5993,0.2178,290.96,1.3354,0.1089,9.7487,49.70,30.27,1.015,77058.6,423.8,0.5504,37512.2,786.82,30891.9,
"ELPE25","ELPE25","OUTLIER","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"outlier from El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE25",1151.40,19.7191,0.3725,14.7250,2.8272,9.6589,1.3875,34.9749,0.2228,17.8815,0.5102,6174.8,5.2226,223.09,0.4960,0.3153,370.35,1.4931,0.2466,12.1315,53.59,157.05,1.425,78856.0,453.9,1.3771,39855.2,884.41,33734.3,
"ELPE26","ELPE26","EPM1-ARG","source","Neme, Gustavo","Argentina","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-1","Mendoza","Argentina","Neme, Gustavo",,,"high uranium - required fission correction","MURR (SRM-278: short and long)","OBS2",13-Mar-10,"MAU2-S",4-Mar-10,"ELPE26",1129.90,17.9321,0.3449,10.0799,2.7159,9.6972,1.2483,31.9835,0.1908,18.3231,0.4600,5839.2,4.0948,226.08,0.4981,0.2746,337.49,1.5044,0.2287,11.5441,54.62,104.24,1.097,78963.8,394.8,1.0592,33279.6,919.46,32577.5,
"EPM001","EPM001","EPM2-ARG","source","Giesso, Martin","Northeastern Illinois University","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"EPM001",881.60,7.6921,0.1360,6.3427,1.5999,9.8158,0.7382,15.6944,0.1471,20.9590,0.2213,4715.9,2.8527,240.38,0.7990,0.2135,279.96,1.2698,0.0996,9.3360,53.26,48.00,0.000,71929.1,206.6,0.5522,38408.0,812.85,31990.9,
"EPM002","EPM002","EPM2-ARG","source","Giesso, Martin","Northeastern Illinois University","El Peceño","Mendoza","Argentina",-35.2939,-68.6211,"El Peceño-2","Mendoza","Argentina","Giesso, Martin",,,,"MURR (SRM-278: short and long)","EAS4",9-Nov-03,"MAC2-S",7-Nov-03,"EPM002",863.50,7.7308,0.1496,7.1696,1.6493,9.7003,0.8069,15.7832,0.1720,20.4666,0.2421,4860.0,3.0321,233.14,0.7742,0.2549,290.14,1.3105,0.1067,9.2838,53.63,50.98,0.000,76667.1,286.0,0.6327,42621.5,756.43,29715.3,
"GAB001","TC13-1-1","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB001",705.65,33.6006,0.5396,28.6929,6.8536,2.7815,3.7262,70.3000,0.0760,9.8699,1.2939,16724.4,6.5235,141.50,0.1783,8.1002,193.10,0.6941,0.9562,9.9675,53.01,240.51,2.397,68114.1,611.1,5.7601,24715.1,577.95,28856.0,
"GAB002","TC13-1-2","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB002",726.90,33.8487,0.5693,28.6444,6.7301,3.1295,3.7333,70.5837,0.1031,8.0228,1.2928,16502.5,6.5378,129.00,0.1746,8.2789,132.72,0.6853,0.8550,9.9104,54.62,247.31,3.039,65321.7,638.3,6.5117,28168.2,567.85,28748.4,
"GAB003","TC13-2-1","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB003",731.00,33.2876,0.5874,27.7998,6.6853,2.8235,3.8725,68.9261,0.1236,9.0181,1.2664,16069.7,6.4333,129.64,0.1732,7.6618,190.54,0.6687,0.9640,9.7853,52.14,246.44,3.833,70339.1,675.7,7.6942,22552.8,565.61,28922.8,
"GAB004","TC13-2-1","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB004",714.32,39.8863,0.8157,29.5851,8.0800,2.2186,5.4697,74.4305,0.1951,52.6826,1.6630,15363.6,6.4348,185.99,0.2339,7.8331,131.91,0.6807,1.3532,9.8377,52.47,262.23,2.791,63418.9,570.8,6.4407,15219.7,477.53,31459.5,
"GAB005","TC13-2-2","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB005",934.77,31.6750,0.5066,25.6011,6.0915,2.3682,3.3121,67.1059,0.0935,76.3505,1.1369,14981.2,6.3764,175.89,0.2142,7.6823,135.30,0.6612,0.9058,9.8419,47.34,248.40,2.310,64046.7,611.5,4.8302,16319.5,483.72,32216.9,
"GAB006","TC13-2-3","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB006",741.50,38.9919,0.7773,29.2187,7.2197,2.6014,5.0877,70.0499,0.1744,26.6642,1.3902,15164.1,6.3423,168.84,0.1970,7.6845,183.97,0.6709,1.1660,9.6756,52.82,236.91,2.681,69512.9,605.1,6.7305,22783.7,491.56,30161.3,
"GAB007","TC13-3","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB007",876.43,33.8124,0.4991,28.0729,6.8532,2.9520,3.3736,68.3317,0.1093,10.8237,1.1558,14745.5,6.4602,148.75,0.1796,7.8272,149.02,0.6666,0.9360,9.9122,49.68,248.13,2.760,64042.6,689.6,4.8064,23871.5,435.01,28223.2,
"GAB008","TC13-4","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB008",673.53,32.6971,0.5559,29.2945,6.8493,3.0638,3.6270,69.0451,0.0786,7.3946,1.2408,16325.3,6.4224,128.37,0.1721,7.7682,128.86,0.6777,0.9442,9.8676,52.46,240.98,2.660,62868.5,678.4,5.6410,25281.3,561.36,28859.1,
"GAB009","TC13-5","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB009",669.59,33.7012,0.5601,27.7997,6.7242,2.5701,3.5209,67.4860,0.1017,24.4144,1.3140,15468.9,6.3361,192.48,0.1832,7.6622,114.32,0.6785,0.9485,9.6902,52.72,247.78,3.654,65368.1,658.8,5.3210,20968.7,512.55,31371.7,
"GAB010","TC13-6","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB010",704.47,33.7920,0.5658,26.5625,6.7651,2.9062,3.5991,67.9829,0.1016,16.7832,1.2758,15572.3,6.3275,180.54,0.1681,7.6305,142.46,0.6663,0.9638,9.6534,51.53,246.47,2.532,68950.0,671.9,6.0337,23610.7,558.25,30423.9,
"GAB011","TC13-7","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB011",836.42,36.5515,0.6074,33.5730,7.7937,2.8817,3.8235,72.0729,0.0762,16.6867,1.5406,14380.2,6.4102,161.62,0.1791,7.8129,194.15,0.6821,1.1388,9.8419,49.93,249.53,2.634,67221.8,634.6,8.3579,26708.0,496.27,28521.6,
"GAB012","TC13-8","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB012",782.67,37.8417,0.5981,35.0040,8.4047,2.8309,4.0164,79.1547,0.1085,7.6725,1.6192,16207.1,6.3822,125.49,0.1551,7.8092,160.01,0.6680,1.1926,9.7223,53.05,238.39,2.559,63066.6,629.4,6.3300,25855.8,545.44,28066.7,
"GAB013","TC13-9","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB013",835.20,35.1312,0.5721,29.4689,7.3116,2.6141,3.8055,70.8968,0.1263,11.3926,1.4081,15120.9,6.5002,133.09,0.1808,8.3057,180.44,0.6874,0.9977,9.8754,51.22,240.37,2.559,66401.5,670.6,6.6879,25290.2,503.68,27574.9,
"GAB014","TC13-10","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-1","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB014",952.22,34.7377,0.5822,30.1885,7.4699,2.7937,3.8591,70.9531,0.0898,8.6229,1.3514,15572.8,6.4457,134.36,0.1643,7.8878,196.65,0.6857,1.0428,9.8583,51.03,240.09,3.083,64055.4,670.7,6.7348,27787.0,515.87,29326.2,
"GAB015","TC13-11","TRC-ARG","source","Brooks, George","University of Georgia","Tres Cerros","Santa Cruz","Argentina",-48.1242,-67.6439,"Tres Cerros-2","Santa Cruz","Argentina",,,,,,"FMA2",2-Feb-14,"JCF1-S",31-Jan-14,"GAB015",738.42,32.8628,0.5452,26.2262,6.6722,2.9870,3.6080,68.7333,0.1022,23.9403,1.1963,17051.8,6.5374,165.65,0.1754,7.9420,134.68,0.6955,0.8861,9.9559,50.72,257.60,3.121,62401.9,646.9,4.6742,22389.0,541.32,28926.5,
